category,spicy,garlic,nuts,dishId,name,nameCH,price,description
Rice_&_Noodles,FALSE,FALSE,FALSE,R23,Veggie shrimp fried rice,素蝦炒飯,10.95,
Rice_&_Noodles,FALSE,FALSE,TRUE,R24,Chicken Pad Thai,泰式素雞炒麵,11.95,
Rice_&_Noodles,TRUE,FALSE,FALSE,R25,Thai Basil Fried Rice,,10.95,
Mock_Meat,TRUE,FALSE,FALSE,M02,Veggie Hunan style BBQ,凝脂瀟湘芙蓉玉,10.95,"BBQ “pork”, bean curd, stir fried in Hunan sauce"
Mock_Meat,FALSE,FALSE,FALSE,M03,Minced pork green bean,欖菜玉豆養顏寶,10.95,"Green bean, “pork” stir fried with olive and vegetable"
Rice_&_Noodles,FALSE,FALSE,FALSE,R06,Salted Fish Casserole,咸魚雞粒煲仔飯,12.95,"Salted veggie “fish”, “chicken”, and casserole rice"
Rice_&_Noodles,FALSE,FALSE,FALSE,R09,Veggie Carbonara,欖菜煙肉米粉,10.95,"Veggies, Vegan bacon, rice noodle"
Mock_Meat,FALSE,FALSE,FALSE,M05,Sweet sour chicken,咕嚕咕嚕波羅雞,10.95,"“Chicken”, pineapple, sweet sour sauce"
Mock_Meat,TRUE,FALSE,FALSE,M06,Veggie pepper steak,鐵板黑椒素牛柳,12.95,“Steak” pan fried black pepper sauce
Mock_Meat,FALSE,FALSE,FALSE,M09,Walnut marinade shrimp,核桃明蝦素球,14.95,
Mock_Meat,TRUE,FALSE,FALSE,M10,Kung-pao chicken,宮保雞,10.95,
Mock_Meat,FALSE,FALSE,FALSE,M11,Preserved veggie beef,砂鍋欖菜牛肉炒飯,12.95,fried rice casserole
Mock_Meat,FALSE,FALSE,FALSE,M12,Beef broccoli,西蘭牛,11.95,
Mock_Meat,FALSE,FALSE,FALSE,M13,Salted fish & chicken,咸魚雞粒滑豆腐煲,12.95,tofu clay pot
Mock_Meat,FALSE,FALSE,FALSE,M15,Orange Chicken,,11.95,
Mock_Meat,FALSE,FALSE,FALSE,M16,Salmon filet with bella mushroom,香糟蘑菇煎鱈魚,15.95," Pan-fried ""salmon"" filet with baby bella mushroom in wine sauce"
Mock_Meat,FALSE,FALSE,FALSE,M17,Sesame Chicken,芝麻雞,11.95,
Mock_Meat,FALSE,FALSE,FALSE,M18,Okra chicken fried Quinoa,秋葵雞塊炒藜麥,15.95,
Mock_Meat,FALSE,FALSE,FALSE,M19,Mongolian Beef,蒙古牛肉,12.95,
Mock_Meat,FALSE,FALSE,FALSE,M20,Sweet Sour Shrimp,甜酸蝦,14.95,
Mock_Meat,TRUE,FALSE,FALSE,M22,Thai Spicy Shrimp,泰式炒大蝦,14.95,
Mock_Meat,TRUE,FALSE,FALSE,M21,General Tso Chicken,左宗棠雞,11.95," Vegan Chicken, Broccoli, red pepper"
Soup,FALSE,FALSE,FALSE,S01,Tofu mushroom soup,一品真菌養心湯,3.95,
Soup,TRUE,FALSE,FALSE,S06,Hot & Sour Soup,酸辣湯,2.95,
Soup,FALSE,FALSE,FALSE,S03,Tofu nori soup,紫菜豆腐湯,2.95,
Sushi,TRUE,FALSE,FALSE,H02,Spicy Tuna Roll,香辣鮪魚卷,8.95,
